name,eng_name,description,Active,Physical,RequiresFocus,Indoor,Outdoor,RequiresTravel,Solo,Group,SocialInteraction,Creative,Intellectual,Emotional,Analytical,StressRelief,CostRequired,EquipmentRequired,LearningRequired,TimeRequired,Challenging,Competitive,Rewarding,Trendy,RequiresConsistency,ManualSkill,InNature,DetailedDescription,Equipment
네일 페디,Nail Pedi,"손톱과 발톱을 아름답게 꾸미는 미용 활동으로, 세밀한 작업과 디자인 감각이 필요하며 작은 부분에서도 아름다움을 창조하는 예술적 취미",-1,-2,1,1,-2,-2,1,-1,-1,2,-1,0,0,0,-1,0,0,0,-1,-2,0,1,1,1,-2,"네일/페디는 손톱과 발톱을 꾸미고 관리하는 미용 취미로, 세밀한 작업과 디자인 감각이 중요합니다. 다양한 컬러와 아트 기법을 활용해 창의성을 발휘할 수 있습니다.\n작은 부분에서도 아름다움을 찾고 싶은 사람에게 잘 맞는 취미에요!\n1. 세밀한 작업과 집중력 향상\n2. 다양한 디자인과 컬러 경험\n3. 자기표현과 창의성 발휘\n4. 비교적 적은 공간과 비용으로 시작 가능\n5. 꾸준한 관리와 연습 필요\n6. 뷰티 커뮤니티와 정보 공유 가능",네일 파일|버퍼|큐티클 푸셔|네일 폴리시|젤램프(젤네일 시)|아트 스티커|리무버|면봉/화장솜|핸드크림
왁싱,Waxing,"체모 제거를 통한 미용 관리로, 전문적인 기술과 위생 관리가 중요하며 깔끔한 외모 관리를 통해 자신감을 높일 수 있는 취미",-1,-2,0,1,-2,-2,1,-1,-1,-2,-1,-1,-1,0,0,-1,-1,-1,-1,-2,-1,0,1,0,-2,"왁싱은 체모를 제거하여 깔끔한 외모를 유지하는 미용 관리입니다. 위생과 전문성이 중요하며, 꾸준한 관리로 자신감을 높일 수 있습니다. 피부 자극을 최소화하는 방법과 사후 관리가 중요합니다.\n깔끔한 외모와 자기관리에 관심 있는 사람에게 잘 맞는 취미에요!\n1. 위생적이고 전문적인 관리 필요\n2. 다양한 부위에 적용 가능\n3. 꾸준한 관리로 효과 극대화\n4. 피부 타입에 맞는 제품 선택 중요\n5. 셀프 또는 전문샵 이용 가능\n6. 비교적 짧은 시간 투자로 효과",왁싱 스트립|왁스|스파츌라|애프터케어 크림|장갑|타월|클렌저|진정제
속눈썹,Eyelash,"속눈썹 연장이나 퍼밍을 통해 눈매를 아름답게 꾸미는 미용 활동으로, 섬세한 기술과 미적 감각이 필요하며 얼굴 인상을 돋보이게 하는 취미",-1,-2,2,1,-2,-2,1,-1,-1,1,-1,0,0,0,-1,0,0,0,-1,-2,0,1,0,1,-2,"속눈썹 관리는 연장, 펌, 틴트 등 다양한 방법으로 눈매를 또렷하게 만들어주는 미용 활동입니다. 섬세한 손기술과 위생 관리가 중요하며, 자연스러운 아름다움을 추구할 수 있습니다.\n눈매를 강조하고 싶은 사람에게 잘 맞는 취미에요!\n1. 섬세한 작업과 집중력 필요\n2. 다양한 스타일 연출 가능\n3. 위생과 안전 관리 중요\n4. 셀프 또는 전문샵 이용 가능\n5. 꾸준한 관리로 효과 유지\n6. 비교적 짧은 시간 투자로 변화 경험","속눈썹 연장재료(글루, 인조 속눈썹 등)|속눈썹 펌 키트|핀셋|브러시|클렌저|패치|면봉|영양제"
뷰티컨설팅,Beauty Consulting,"개인의 외모와 스타일에 맞는 뷰티 조언을 제공하는 활동으로, 미용 지식과 소통 능력이 필요하며 타인의 아름다움을 발견하고 도와주는 보람있는 취미",-1,-2,1,0,-1,-1,-1,1,1,1,1,0,1,1,-1,0,0,1,0,-2,1,1,0,0,-2,"뷰티컨설팅은 개인의 피부, 헤어, 메이크업, 패션 등 다양한 분야에서 맞춤형 조언을 제공하는 활동입니다. 미용 트렌드와 소통 능력이 중요하며, 타인의 변화를 돕는 보람을 느낄 수 있습니다.\n타인의 아름다움을 발견하고 도와주고 싶은 사람에게 잘 맞는 취미에요!\n1. 미용 지식과 트렌드 파악 필요\n2. 소통과 공감 능력 중요\n3. 다양한 스타일 제안 가능\n4. 자기계발과 성장 경험\n5. 뷰티 커뮤니티 활동 가능\n6. 비교적 적은 비용으로 시작 가능",피부 진단기(선택사항)|메이크업 샘플|헤어 스타일링 도구|패션 소품|노트/플래너|거울|상담 자료
가죽공예,Leather Craft,"가죽을 이용해 다양한 제품을 만드는 수공예로, 정밀한 손기술과 인내심이 필요하며 오래도록 사용할 수 있는 실용적이면서 아름다운 작품을 만드는 취미",-1,-1,1,1,-2,-2,2,-1,-1,2,0,0,1,1,0,1,1,1,0,-2,1,0,1,2,-2,"가죽공예는 가죽을 재단, 바느질, 염색 등 다양한 기법으로 가방, 지갑, 소품 등을 만드는 수공예입니다. 정밀한 손기술과 인내심이 필요하며, 실용적이면서도 개성 있는 작품을 완성할 수 있습니다.\n오래 사용할 수 있는 나만의 소품을 만들고 싶은 사람에게 잘 맞는 취미에요!\n1. 정교한 손기술과 집중력 필요\n2. 다양한 디자인과 실용성 경험\n3. 창의적이고 개성 있는 작품 제작\n4. 꾸준한 연습과 시간 투자 필요\n5. 선물용으로도 활용 가능\n6. 비교적 소규모 공간에서 작업 가능",가죽 원단|재단칼|바늘과 실|가죽 본드|엣지코트|망치|펀치|재단판|클립|염색제|마감제|자
도자기공예,Pottery,"흙을 빚어 그릇이나 장식품을 만드는 전통 공예로, 집중력과 손기술이 필요하며 불로 구워내는 과정을 통해 완성되는 작품에서 큰 성취감을 느끼는 취미",0,-1,1,1,-2,-2,2,0,-1,2,0,0,1,1,0,1,1,2,1,-2,1,0,1,2,-2,"도자기공예는 흙을 빚어 그릇, 장식품 등을 만드는 전통 수공예입니다. 물레 사용, 조형, 유약 바르기, 가마 소성 등 다양한 과정을 거치며, 완성된 작품에서 큰 성취감을 느낄 수 있습니다.\n전통과 예술을 동시에 경험하고 싶은 사람에게 잘 맞는 취미에요!\n1. 집중력과 인내심 필요\n2. 다양한 형태와 디자인 창작 가능\n3. 불로 구워내는 특별한 과정 경험\n4. 실용적이면서도 예술적인 작품 제작\n5. 꾸준한 연습과 시간 투자 필요\n6. 소규모 또는 공방에서 작업 가능",도예용 흙|물레(선택)|조각도구|유약|가마(공방 이용)|스펀지|붓|방수 앞치마|물통|비닐|작업판
플라워공예,Flower Craft,"꽃과 식물을 이용해 장식품이나 부케를 만드는 예술 활동으로, 미적 감각과 섬세함이 필요하며 자연의 아름다움을 작품으로 표현하는 힐링되는 취미",-1,-2,1,1,-2,-2,1,0,-1,2,-1,1,0,1,-1,0,0,0,-1,-2,1,1,0,1,-2,"플라워공예는 생화, 조화, 드라이플라워 등 다양한 꽃을 활용해 부케, 리스, 소품 등을 만드는 예술 활동입니다. 미적 감각과 섬세함이 필요하며, 자연의 아름다움을 작품으로 표현할 수 있습니다.\n자연을 사랑하고 감성적인 작품을 만들고 싶은 사람에게 잘 맞는 취미에요!\n1. 미적 감각과 창의성 필요\n2. 다양한 소재와 디자인 경험\n3. 힐링과 스트레스 해소 효과\n4. 선물용, 인테리어 소품 제작 가능\n5. 비교적 적은 공간에서 작업 가능\n6. 계절별 다양한 꽃 활용 가능",생화/조화/드라이플라워|플로럴 폼|가위|와이어|플로럴 테이프|글루건|리본|화병|포장지|장식 소품
목공,Woodworking,"나무를 이용해 가구나 소품을 만드는 수공예로, 정교한 기술과 도구 사용법이 필요하며 실용적이면서 개성 있는 작품을 직접 만드는 성취감을 느끼는 취미",0,0,1,1,-1,-2,2,-1,-1,1,0,0,1,1,-1,1,2,2,1,-2,1,0,1,2,-1,"목공은 나무를 재단, 조립, 마감하여 가구, 소품 등을 만드는 수공예입니다. 정교한 도구 사용과 설계 능력이 필요하며, 실용적이면서도 개성 있는 작품을 직접 만들 수 있습니다.\n직접 만든 가구나 소품에 애정을 느끼고 싶은 사람에게 잘 맞는 취미에요!\n1. 정밀한 기술과 도구 사용 필요\n2. 실용성과 창의성 동시 경험\n3. 다양한 목재와 마감재 활용 가능\n4. 꾸준한 연습과 시간 투자 필요\n5. 안전 관리 중요\n6. 공방 또는 소규모 작업실에서 가능","목재|톱|망치|못/피스|드릴|사포|본드|자|연필|마감 오일/페인트|작업대|보호장비(장갑, 안경)"
캔들공예, Candle Craft,"왁스를 이용해 양초를 만드는 공예 활동으로, 향과 색깔을 조합하는 창의성이 필요하며 완성된 캔들의 따뜻한 분위기를 통해 힐링을 경험하는 취미",-1,-2,0,1,-2,-2,2,-1,-1,1,-1,0,0,0,-1,-1,0,0,-1,-2,0,1,0,1,-2,"캔들공예는 다양한 왁스와 향료, 색소를 조합해 나만의 양초를 만드는 창의적인 활동입니다. 완성된 캔들은 인테리어 소품이나 선물로도 활용할 수 있습니다.\n향기와 분위기를 중요시하는 사람에게 잘 맞는 취미에요!\n1. 창의성과 감각 필요\n2. 다양한 향과 색상 조합 가능\n3. 힐링과 스트레스 해소 효과\n4. 선물용, 인테리어 소품 제작 가능\n5. 비교적 적은 공간에서 작업 가능\n6. 안전한 작업 환경 필요",캔들 왁스|향료|색소|심지|용기|온도계|비커|저울|스틱|글루건|포장지|장갑|작업매트
비누공예,Soap Craft,"천연 재료로 비누를 만드는 수제 공예로, 화학적 지식과 창의성이 필요하며 실용적이면서 개성 있는 비누를 만들어 일상에서 사용하는 취미",-1,-2,0,1,-2,-2,2,-1,-1,1,0,0,1,0,-1,-1,0,1,0,-2,0,1,0,1,-2,"비누공예는 천연 오일, 허브, 색소 등을 활용해 다양한 모양과 향의 비누를 만드는 수공예입니다. 화학적 지식과 창의성이 필요하며, 실용적이면서도 개성 있는 비누를 직접 사용할 수 있습니다.\n자연 친화적이고 실용적인 취미를 원하는 사람에게 잘 맞는 취미에요!\n1. 창의성과 실용성 동시 경험\n2. 다양한 재료와 디자인 활용 가능\n3. 피부 타입에 맞는 비누 제작 가능\n4. 선물용, 일상용 모두 활용 가능\n5. 비교적 적은 공간에서 작업 가능\n6. 안전한 작업 환경 필요",비누 베이스|천연 오일|에센셜 오일|색소|몰드|계량컵|저울|스틱|비커|장갑|포장지|작업매트
향수만들기,Perfume Making,"다양한 향료를 조합해 나만의 향수를 만드는 예술적 활동으로, 후각의 민감함과 조향 지식이 필요하며 개성 있는 향을 창조하는 창의적인 취미",-1,-2,1,1,-2,-2,2,-1,-1,2,0,0,0,1,-1,0,0,1,0,-2,1,1,0,1,-2,"향수만들기는 다양한 향료와 에센셜 오일을 조합해 자신만의 향을 창조하는 예술적 활동입니다. 후각의 민감함과 조향 지식이 필요하며, 개성 있는 향을 직접 만들 수 있습니다.\n나만의 향을 만들고 싶은 사람에게 잘 맞는 취미에요!\n1. 창의성과 감각 필요\n2. 다양한 향료와 조합 경험\n3. 선물용, 일상용 모두 활용 가능\n4. 비교적 적은 공간에서 작업 가능\n5. 안전한 작업 환경 필요\n6. 조향 지식 습득 가능",에센셜 오일|향료|알코올|스포이드|비커|저울|공병|스틱|장갑|포장지|작업매트
레진아트,Resin Art,"에폭시 레진을 이용한 투명하고 입체적인 예술 작품을 만드는 공예로, 정밀함과 창의성이 필요하며 독특하고 아름다운 작품을 만드는 현대적인 취미",-1,-2,1,1,-2,-2,2,-1,-1,2,-1,0,0,1,-1,0,0,1,0,-2,1,1,0,1,-2,"레진아트는 에폭시 레진과 다양한 몰드, 색소, 장식재를 활용해 투명하고 입체적인 작품을 만드는 현대 공예입니다. 정밀함과 창의성이 필요하며, 독특한 소품을 직접 만들 수 있습니다.\n특별하고 개성 있는 작품을 만들고 싶은 사람에게 잘 맞는 취미에요!\n1. 창의성과 정밀함 필요\n2. 다양한 재료와 디자인 활용 가능\n3. 선물용, 인테리어 소품 제작 가능\n4. 비교적 적은 공간에서 작업 가능\n5. 안전한 작업 환경 필요\n6. 꾸준한 연습과 시간 투자 필요",에폭시 레진|경화제|몰드|색소|글리터|장식재|스틱|저울|비커|장갑|포장지|작업매트
액세서리공예,Accessory Craft,"구슬, 와이어 등을 이용해 목걸이, 팔찌 등을 만드는 수공예로, 섬세한 손기술과 디자인 감각이 필요하며 개성 있는 장신구를 직접 만드는 취미",-1,-2,1,1,-2,-2,2,-1,-1,2,-1,0,0,1,-1,-1,0,0,-1,-2,0,1,0,2,-2,"액세서리공예는 구슬, 와이어, 체인 등 다양한 재료를 활용해 목걸이, 팔찌, 귀걸이 등 장신구를 만드는 수공예입니다. 섬세한 손기술과 디자인 감각이 필요하며, 개성 있는 작품을 직접 만들 수 있습니다.\n자신만의 스타일을 표현하고 싶은 사람에게 잘 맞는 취미에요!\n1. 섬세한 손기술과 창의성 필요\n2. 다양한 재료와 디자인 활용 가능\n3. 선물용, 일상용 모두 활용 가능\n4. 비교적 적은 공간에서 작업 가능\n5. 꾸준한 연습과 시간 투자 필요\n6. 뷰티 커뮤니티와 정보 공유 가능",구슬|와이어|체인|고리|펜치|니퍼|비즈매트|디자인판|포장지|장식재|글루건|작업매트
유리공예,Glass Craft,"유리를 가공해 예술품이나 실용품을 만드는 전문 공예로, 고온 작업과 정교한 기술이 필요하며 투명하고 아름다운 유리 작품을 창조하는 취미",0,-1,2,0,-1,-2,1,-1,-1,2,0,0,1,1,0,1,2,2,1,-2,1,0,0,2,-1,"유리공예는 유리를 절단, 융합, 성형 등 다양한 기법으로 가공해 예술품이나 실용품을 만드는 전문 공예입니다. 고온 작업과 정밀한 기술이 필요하며, 투명하고 아름다운 작품을 직접 만들 수 있습니다.\n특별한 예술적 경험을 원하는 사람에게 잘 맞는 취미에요!\n1. 정밀한 기술과 안전 관리 필요\n2. 다양한 기법과 디자인 경험\n3. 예술적, 실용적 작품 제작 가능\n4. 꾸준한 연습과 시간 투자 필요\n5. 공방 또는 전문 시설 필요\n6. 선물용, 인테리어 소품 제작 가능",유리 원판/봉|절단기|융합로/램프|성형 도구|장갑|보호안경|집게|연마기|마감재|작업매트|포장지
실공예,Thread Craft,"털실이나 실을 이용해 뜨개질이나 자수 등을 하는 전통 공예로, 반복적인 작업을 통한 명상 효과와 함께 실용적인 작품을 만들어가는 힐링되는 취미",-1,-2,0,1,-2,-2,2,0,-1,1,-1,0,0,2,-1,-1,0,0,1,-2,0,1,2,2,-2,"실공예는 털실, 면사 등 다양한 실을 이용해 뜨개질, 자수, 매듭 등으로 소품을 만드는 전통 공예입니다. 반복적인 작업을 통해 명상 효과와 성취감을 얻을 수 있습니다.\n차분한 작업과 힐링을 원하는 사람에게 잘 맞는 취미에요!\n1. 반복적이고 집중력 있는 작업 필요\n2. 다양한 실과 기법 활용 가능\n3. 실용적이고 따뜻한 소품 제작\n4. 비교적 적은 공간에서 작업 가능\n5. 꾸준한 연습과 시간 투자 필요\n6. 선물용, 인테리어 소품 제작 가능",털실/면사|바늘(뜨개/자수)|가위|자|디자인 도안|핀|바늘꽂이|포장지|작업매트
라탄공예,Rattan Craft,"라탄(등나무)을 엮어 바구니나 가구를 만드는 전통 공예로, 손기술과 인내심이 필요하며 자연 소재로 만든 친환경적이고 실용적인 작품을 완성하는 취미",0,-1,1,1,-2,-2,2,-1,-1,1,0,0,1,1,-1,0,0,1,1,-2,1,0,1,2,-2,"라탄공예는 라탄(등나무)을 엮어 바구니, 소품, 가구 등을 만드는 전통 수공예입니다. 손기술과 인내심이 필요하며, 친환경적이고 실용적인 작품을 완성할 수 있습니다.\n자연 소재의 따뜻함과 실용성을 중시하는 사람에게 잘 맞는 취미에요!\n1. 손기술과 인내심 필요\n2. 친환경적이고 실용적인 작품 제작\n3. 다양한 디자인과 크기 경험\n4. 꾸준한 연습과 시간 투자 필요\n5. 비교적 적은 공간에서 작업 가능\n6. 선물용, 인테리어 소품 제작 가능",라탄 소재|가위|송곳|집게|본드|자|디자인 도안|마감재|포장지|작업매트
댄스,Dance,"음악에 맞춰 몸을 움직이는 예술적 표현 활동으로, 리듬감과 표현력이 필요하며 다양한 장르를 통해 감정을 표현하고 체력도 기를 수 있는 취미",2,1,0,0,-1,-2,0,1,1,2,-1,2,-1,1,-1,-1,0,0,1,0,2,2,1,1,-1,"댄스는 음악에 맞춰 몸을 움직이며 감정을 표현하는 예술적 활동입니다. 다양한 장르(발레, 재즈, 힙합, 살사 등)를 통해 개성과 창의성을 발휘할 수 있습니다.\n리듬감과 표현력을 중시하는 사람에게 잘 맞는 취미에요!\n1. 리듬감과 표현력 향상\n2. 다양한 장르와 스타일 경험\n3. 체력 향상과 다이어트 효과\n4. 자신감과 자아표현 능력 개발\n5. 그룹 활동을 통한 사회성 향상\n6. 공연을 통한 성취감과 보람",댄스화|운동복|음악 플레이어|거울|바닥 매트|발레바|스피커|조명|메이크업|의상
클라이밍,Climbing,"인공 암벽이나 자연 암벽을 오르는 스포츠로, 근력과 문제 해결 능력이 필요하며 목표 지점에 도달했을 때의 성취감과 스릴을 동시에 경험하는 취미",1,2,1,0,0,-1,1,0,0,-1,1,0,1,1,0,1,1,1,2,0,2,1,1,1,0,클라이밍은 인공 암벽이나 자연 암벽을 오르며 근력과 문제 해결 능력을 기르는 스포츠입니다. 다양한 홀드와 루트를 통해 전략적 사고와 체력을 동시에 발달시킬 수 있습니다.\n도전정신과 문제 해결 능력을 중시하는 사람에게 잘 맞는 취미에요!\n1. 전신 근력과 유연성 향상\n2. 문제 해결 능력과 전략적 사고 개발\n3. 높이에 대한 두려움 극복\n4. 다양한 난이도의 루트 도전\n5. 클라이밍장에서의 새로운 인맥 형성\n6. 목표 달성의 성취감과 자신감,클라이밍화|하네스|카라비너|빨랫줄|마그네슘|헬멧|등산복|글러브|안전장비|등반용품
실내다이빙,Indoor Diving,"수영장에서 스쿠버 장비를 이용한 다이빙 연습으로, 실제 바다 다이빙의 기초 기술을 익히며 수중에서의 특별한 경험을 안전하게 시작할 수 있는 취미",0,1,1,2,-2,-2,1,0,0,0,0,0,0,0,0,1,1,1,0,-2,1,0,1,0,-2,실내다이빙은 수영장에서 스쿠버 장비를 이용해 수중 환경을 안전하게 경험하는 활동입니다. 실제 바다 다이빙의 기초 기술을 익히고 수중에서의 특별한 경험을 할 수 있습니다.\n수중 세계에 관심이 있고 안전한 환경에서 다이빙을 시작하고 싶은 사람에게 잘 맞는 취미에요!\n1. 안전한 환경에서 수중 경험\n2. 스쿠버 다이빙 기초 기술 습득\n3. 수중 호흡과 압력 적응 훈련\n4. 실제 바다 다이빙을 위한 준비\n5. 수영장 시설을 활용한 편리한 접근\n6. 전문 강사의 지도로 안전한 학습,스쿠버 장비|수영복|고글|핀|BCD|레귤레이터|게이지|마스크|웨이트|안전장비
스쿼시,Squash,"네 면이 벽으로 둘러싸인 코트에서 하는 실내 라켓 스포츠로, 빠른 반사신경과 체력이 필요하며 좁은 공간에서 집중적인 운동 효과를 경험하는 취미",2,2,1,2,-2,-2,0,1,0,-1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,-2,"스쿼시는 네 벽으로 둘러싸인 코트에서 라켓과 공을 이용해 빠르게 경기를 펼치는 실내 스포츠입니다. 반사신경과 순발력, 체력이 중요하며, 좁은 공간에서 집중적인 운동 효과를 얻을 수 있습니다.\n빠른 경기와 강한 운동 강도를 원하는 사람에게 잘 맞는 취미에요!\n1. 빠른 반사신경과 순발력 필요\n2. 실내에서 즐기는 고강도 운동\n3. 남녀노소 누구나 쉽게 시작 가능\n4. 짧은 시간에 많은 운동량 소화\n5. 경기 규칙이 비교적 간단\n6. 동호회 활동 및 대회 참가 가능",라켓|스쿼시공|실내 운동화|운동복|타월|물병|손목밴드|헤어밴드|코트 이용권
탁구,Table Tennis,"작은 공을 라켓으로 주고받는 실내 스포츠로, 빠른 반사신경과 집중력이 필요하며 남녀노소 누구나 쉽게 즐길 수 있는 대중적인 취미",1,0,1,1,-2,-2,0,1,0,-1,0,0,0,1,-1,-1,0,0,1,0,0,1,0,0,-2,"탁구는 작은 공을 라켓으로 주고받으며 빠른 반사신경과 집중력을 기르는 실내 스포츠입니다. 남녀노소 누구나 쉽게 시작할 수 있고, 짧은 시간에도 운동 효과가 뛰어납니다.\n간편하게 즐길 수 있는 실내 스포츠를 찾는 사람에게 잘 맞는 취미에요!\n1. 빠른 반사신경과 집중력 필요\n2. 남녀노소 누구나 즐길 수 있음\n3. 실내에서 날씨 영향 없이 가능\n4. 장비와 공간이 비교적 간단\n5. 동호회 및 대회 참가 가능\n6. 가족, 친구와 함께 즐기기 좋음",탁구 라켓|탁구공|탁구대|실내 운동화|운동복|타월|물병
테니스,Tennis,"라켓으로 공을 주고받는 대표적인 라켓 스포츠로, 체력과 기술이 모두 필요하며 정확성과 전략적 사고를 통해 경기의 재미를 느낄 수 있는 취미",1,1,1,-1,1,-1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,"테니스는 라켓과 공을 이용해 넓은 코트에서 경기를 펼치는 대표적인 라켓 스포츠입니다. 체력과 기술, 전략적 사고가 모두 필요하며, 경기의 박진감과 성취감을 동시에 느낄 수 있습니다.\n활동적이고 도전적인 스포츠를 좋아하는 사람에게 잘 맞는 취미에요!\n1. 체력과 기술, 전략 동시 요구\n2. 실내외 모두 즐길 수 있음\n3. 다양한 경기 방식(단식, 복식)\n4. 꾸준한 연습으로 실력 향상 가능\n5. 동호회 및 대회 참가 기회 많음\n6. 사회적 네트워킹 효과",테니스 라켓|테니스공|운동화(테니스화)|운동복|손목밴드|모자|타월|물병|코트 이용권
배드민턴,Badminton,"가벼운 셔틀콕을 라켓으로 주고받는 스포츠로, 빠른 움직임과 정확성이 필요하며 실내외에서 모두 즐길 수 있어 접근성이 좋은 취미",1,1,1,0,0,-2,0,1,0,-1,0,0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,"배드민턴은 가벼운 셔틀콕을 라켓으로 주고받으며 빠른 움직임과 정확성을 기르는 스포츠입니다. 실내외 어디서나 쉽게 즐길 수 있고, 남녀노소 모두에게 인기 있는 취미입니다.\n가볍게 시작할 수 있는 운동을 찾는 사람에게 잘 맞는 취미에요!\n1. 빠른 움직임과 정확성 필요\n2. 실내외 모두 가능해 접근성 높음\n3. 장비가 간단하고 휴대성 좋음\n4. 가족, 친구와 함께 즐기기 좋음\n5. 동호회 및 대회 참가 가능\n6. 운동 효과가 뛰어남",배드민턴 라켓|셔틀콕|운동화|운동복|타월|물병|코트 이용권
당구,Billiards,"큐로 공을 쳐서 목표구를 넣는 정밀한 스포츠로, 집중력과 계산 능력이 필요하며 정교한 기술과 전략을 통해 성취감을 느낄 수 있는 취미",-1,-1,2,2,-2,-2,1,0,0,-2,1,-1,2,0,-1,0,0,1,1,0,-1,0,1,1,-2,"당구는 큐로 공을 쳐서 목표구를 넣는 정밀한 스포츠입니다. 집중력과 계산 능력, 정교한 기술이 필요하며, 전략적인 플레이를 통해 성취감을 얻을 수 있습니다.\n정적인 스포츠와 두뇌 플레이를 좋아하는 사람에게 잘 맞는 취미에요!\n1. 집중력과 계산 능력 필요\n2. 정교한 기술과 전략적 사고\n3. 실내에서 날씨 영향 없이 가능\n4. 다양한 게임 방식(포켓, 캐롬 등)\n5. 동호회 및 대회 참가 가능\n6. 비교적 적은 신체 부담",큐|당구공|초크|장갑(선택)|당구대|타월|물병|코인/이용권
농구,Basketball,"공을 골대에 넣는 팀 스포츠로, 순발력과 체력이 필요하며 팀워크와 개인 기술을 모두 기를 수 있어 다양한 재미를 경험할 수 있는 취미",2,2,0,-1,1,-2,-1,2,1,-1,0,0,0,1,-1,-1,0,0,1,1,1,1,1,0,1,"농구는 공을 드리블하고 패스하며 골대에 넣는 팀 스포츠입니다. 순발력과 체력, 팀워크가 중요하며, 개인 기술과 전략을 통해 다양한 재미를 경험할 수 있습니다.\n활동적이고 팀 스포츠를 좋아하는 사람에게 잘 맞는 취미에요!\n1. 순발력과 체력, 팀워크 필요\n2. 실내외 모두 즐길 수 있음\n3. 다양한 포지션과 역할 경험\n4. 꾸준한 연습으로 실력 향상 가능\n5. 동호회 및 대회 참가 기회 많음\n6. 사회적 네트워킹 효과",농구공|운동화(농구화)|운동복|타월|물병|골대|코트 이용권|손목밴드|무릎보호대(선택)
축구,Soccer,"발로 공을 차서 골을 넣는 세계적인 스포츠로, 체력과 팀워크가 중요하며 경기의 스릴과 함께 동료들과의 협력을 통해 큰 재미를 느끼는 취미",2,2,0,-1,1,-2,-2,2,2,0,-1,1,0,1,-1,-1,0,0,1,1,2,2,1,0,1,"축구/풋살은 발로 공을 차서 골을 넣는 대표적인 팀 스포츠입니다. 체력과 팀워크, 전략적 사고가 중요하며, 경기의 스릴과 협동심을 동시에 경험할 수 있습니다.\n경쟁과 협동을 모두 즐기고 싶은 사람에게 잘 맞는 취미에요!\n1. 체력과 팀워크, 전략 필요\n2. 실내외 모두 즐길 수 있음\n3. 다양한 포지션과 역할 경험\n4. 꾸준한 연습과 경기 참가 가능\n5. 동호회 및 대회 참가 기회 많음\n6. 사회적 네트워킹 효과",축구공/풋살공|운동화(축구화)|운동복|타월|물병|골대|코트 이용권|정강이보호대|장갑(골키퍼용)
킥복싱,Kickboxing,"발차기와 주먹을 이용한 격투 스포츠로, 전신 운동 효과가 뛰어나며 스트레스 해소와 함께 자기방어 기술을 익힐 수 있는 실용적인 취미",2,2,1,1,-2,-2,1,0,0,-1,0,1,0,2,0,0,1,1,1,-1,1,1,2,1,-2,"킥복싱은 발차기와 주먹을 이용해 전신을 단련하는 격투 스포츠입니다. 체력과 근력, 순발력이 중요하며, 스트레스 해소와 자기방어 기술 습득에 효과적입니다.\n강한 운동과 자기방어에 관심 있는 사람에게 잘 맞는 취미에요!\n1. 전신 운동 효과 뛰어남\n2. 스트레스 해소와 자기방어 가능\n3. 체력과 근력, 순발력 필요\n4. 꾸준한 연습과 체계적 훈련 필요\n5. 동호회 및 대회 참가 가능\n6. 전문 지도자 지도 시 효과 극대화",글러브|킥패드|샌드백|운동화|운동복|타월|물병|손목/발목 보호대|마우스피스|헤드기어(선택)
펜싱,Fencing,"검을 이용한 우아한 격투 스포츠로, 빠른 판단력과 정확성이 필요하며 예의와 품격을 중시하는 신사적인 스포츠의 매력을 경험하는 취미",1,1,2,1,-2,-2,1,0,0,0,1,0,1,1,0,1,1,2,1,-1,1,0,1,1,-2,"펜싱은 검을 이용해 상대와 대결하는 우아한 격투 스포츠입니다. 빠른 판단력과 정확성, 예의와 품격을 중시하며, 신사적인 스포츠의 매력을 경험할 수 있습니다.\n정확성과 전략, 품격을 중시하는 사람에게 잘 맞는 취미에요!\n1. 빠른 판단력과 정확성 필요\n2. 예의와 품격 중시\n3. 다양한 무기(플뢰레, 에페, 사브르) 경험\n4. 꾸준한 연습과 체계적 훈련 필요\n5. 동호회 및 대회 참가 가능\n6. 전문 지도자 지도 시 효과 극대화",펜싱 검|펜싱복|마스크|장갑|운동화|운동복|타월|물병|보호대|코치/클럽 이용권
카포에라,Capoeira,"브라질의 전통 무술과 댄스가 결합된 예술적 격투기로, 음악과 함께 아크로바틱한 동작을 통해 몸의 유연성과 리듬감을 동시에 기르는 독특한 취미",2,1,1,0,-1,-2,0,1,1,2,0,1,0,1,0,0,1,1,1,0,1,1,1,1,-1,"카포에라는 브라질의 전통 무술과 댄스가 결합된 독특한 격투기입니다. 음악과 함께 아크로바틱한 동작을 통해 유연성과 리듬감을 기를 수 있습니다.\n음악과 운동, 무술을 동시에 즐기고 싶은 사람에게 잘 맞는 취미에요!\n1. 유연성과 리듬감, 근력 필요\n2. 음악과 함께하는 독특한 경험\n3. 다양한 동작과 기술 습득 가능\n4. 꾸준한 연습과 체계적 훈련 필요\n5. 동호회 및 공연 참가 가능\n6. 문화적 교류와 네트워킹 효과",운동복|운동화|카포에라 악기(베림바우 등)|타월|물병|보호대(선택)|동호회/클럽 이용권
